pH,Temperature,Time,Zn_Concentration,Plant_Extract,XRD_Size,UV_Bandgap,DLS_Size,PDI,Zeta_Potential,SEM_Size,Degradation
7.4,85.0,1.2,0.24,8.4,39.4,3.19,65.4,0.25,-21.8,47.1,50.3
10.3,52.0,3.1,0.19,10.6,34.9,3.24,53.8,0.23,-21.4,42.1,56.2
9.2,47.0,3.2,0.16,8.5,36.7,3.26,57.1,0.29,-17.3,42.9,57.4
8.5,64.0,3.5,0.28,6.8,40.2,3.17,60.7,0.34,-16.3,48.7,48.3
6.3,89.0,3.9,0.08,7.4,47.7,3.13,76.1,0.32,-18.5,55.5,50.8
6.3,52.0,4.9,0.17,14.2,41.1,3.19,70.4,0.19,-20.5,50.7,51.6
5.8,74.0,3.1,0.05,9.1,44.2,3.18,66.9,0.25,-18.9,50.6,50.8
9.8,78.0,2.3,0.17,12.3,36.7,3.25,62.1,0.28,-24.4,42.5,61.8
8.5,52.0,4.2,0.06,15.1,32.7,3.25,47.8,0.2,-26.6,38.1,59.2
9.0,76.0,2.1,0.08,18.8,30.9,3.25,42.9,0.19,-29.1,35.0,62.2
5.6,58.0,2.8,0.08,5.8,46.5,3.17,71.4,0.32,-17.2,52.4,45.0
10.3,72.0,1.3,0.21,21.0,27.9,3.3,45.5,0.15,-30.6,31.4,75.5
9.7,72.0,1.1,0.24,17.6,29.3,3.26,55.1,0.21,-27.6,37.1,63.8
6.6,67.0,4.9,0.2,6.6,43.5,3.16,70.2,0.26,-17.6,53.0,54.7
6.4,45.0,4.3,0.29,22.5,33.8,3.25,58.2,0.15,-29.3,40.7,63.9
6.4,82.0,3.8,0.14,23.4,36.2,3.24,57.3,0.17,-28.5,42.5,65.1
7.0,56.0,2.6,0.12,6.2,43.1,3.2,67.0,0.25,-15.6,50.0,53.3
8.1,49.0,1.7,0.27,10.5,34.7,3.23,59.2,0.28,-24.4,41.9,64.3
7.7,42.0,1.6,0.11,21.1,27.0,3.28,44.5,0.18,-34.8,31.5,78.9
7.0,70.0,2.0,0.29,20.0,32.8,3.24,48.7,0.21,-26.6,39.6,67.9
8.6,74.0,3.2,0.05,8.7,37.3,3.23,64.8,0.29,-23.0,44.7,58.6
6.2,41.0,3.9,0.29,9.2,40.6,3.15,71.4,0.32,-19.9,49.8,52.3
7.0,66.0,3.6,0.06,12.4,38.5,3.2,61.0,0.25,-24.8,46.6,58.3
7.3,51.0,2.1,0.27,14.7,32.5,3.22,55.3,0.22,-28.0,40.1,60.4
7.8,72.0,4.8,0.18,17.4,37.8,3.2,63.3,0.21,-25.7,45.8,56.2
9.4,49.0,4.0,0.3,12.4,39.5,3.23,61.5,0.27,-22.1,45.0,56.5
6.5,75.0,3.2,0.07,14.3,38.3,3.2,61.0,0.24,-24.8,46.4,56.3
8.1,59.0,3.4,0.19,19.9,38.8,3.22,54.6,0.19,-34.2,41.9,63.5
8.5,87.0,2.7,0.29,5.7,44.3,3.13,69.3,0.28,-18.9,51.4,49.6
5.7,47.0,2.0,0.18,10.0,37.5,3.22,62.6,0.25,-19.1,43.8,58.1
8.5,57.0,2.4,0.21,19.3,27.1,3.28,46.3,0.15,-31.6,33.1,70.3
6.4,46.0,4.0,0.22,22.9,35.9,3.27,54.5,0.22,-30.2,41.2,70.5
5.8,86.0,1.1,0.16,15.2,40.1,3.18,67.1,0.19,-24.1,48.0,52.3
10.2,84.0,1.5,0.21,15.6,33.6,3.24,44.5,0.2,-25.4,39.3,61.8
10.3,53.0,1.2,0.2,7.1,37.9,3.23,58.8,0.27,-19.6,41.0,53.9
9.5,73.0,1.2,0.28,13.9,32.8,3.27,47.0,0.27,-26.8,38.7,57.3
7.0,81.0,4.4,0.06,15.7,44.5,3.16,67.4,0.22,-22.7,50.7,53.3
6.0,68.0,3.8,0.12,9.8,42.2,3.17,65.0,0.31,-20.2,50.6,50.3
8.9,66.0,2.9,0.29,10.4,39.1,3.21,58.2,0.25,-21.8,46.0,59.3
7.7,52.0,1.4,0.27,12.5,39.2,3.21,62.3,0.26,-24.7,43.6,59.8
6.1,45.0,3.0,0.16,5.4,42.3,3.16,66.9,0.28,-17.3,50.6,45.0
8.0,85.0,2.9,0.21,11.4,43.7,3.18,66.9,0.32,-23.9,48.8,59.2
5.7,85.0,1.7,0.12,9.2,43.1,3.19,67.0,0.24,-19.6,49.7,54.8
10.0,72.0,2.7,0.1,11.5,34.9,3.2,57.9,0.27,-19.8,41.8,58.7
6.8,57.0,2.6,0.17,7.4,45.0,3.16,70.6,0.31,-21.1,52.1,48.3
8.8,57.0,3.5,0.14,22.8,32.2,3.24,45.4,0.18,-34.9,36.5,66.9
7.1,76.0,3.5,0.2,16.9,41.7,3.2,68.1,0.21,-23.1,48.2,55.2
8.1,85.0,1.2,0.07,18.6,30.1,3.21,49.3,0.2,-28.3,37.6,68.3
8.2,84.0,2.5,0.29,20.8,32.7,3.22,48.7,0.18,-31.1,39.5,71.4
6.4,79.0,3.5,0.3,15.0,41.7,3.18,65.4,0.23,-22.1,49.4,58.8
10.3,72.0,3.0,0.22,6.7,39.1,3.22,66.7,0.33,-20.7,46.1,51.6
9.4,44.0,4.4,0.18,15.7,34.7,3.23,56.6,0.29,-22.6,40.0,57.7
10.2,48.0,3.6,0.13,16.7,26.6,3.27,40.9,0.2,-26.1,31.1,68.8
10.0,85.0,1.7,0.25,19.9,32.9,3.26,53.8,0.15,-30.9,40.6,60.0
8.5,70.0,1.3,0.22,13.6,35.6,3.19,54.9,0.24,-19.8,41.4,58.9
10.1,40.0,3.6,0.09,7.6,33.7,3.19,58.6,0.37,-21.3,38.8,57.1
5.9,45.0,1.1,0.28,10.7,37.6,3.22,59.9,0.24,-19.0,43.5,54.3
6.5,73.0,3.3,0.26,12.3,40.8,3.18,64.1,0.3,-21.5,46.5,49.9
5.7,40.0,4.8,0.29,17.9,40.1,3.17,65.2,0.26,-23.6,46.0,59.2
7.1,48.0,3.3,0.23,16.4,35.9,3.23,56.9,0.2,-22.5,41.6,58.7
7.4,67.0,2.6,0.2,12.1,36.6,3.22,57.4,0.27,-22.3,43.1,54.0
6.9,75.0,3.6,0.15,24.7,28.8,3.24,48.3,0.2,-33.7,36.2,61.8
9.6,73.0,2.8,0.28,17.1,34.2,3.21,53.2,0.2,-26.6,39.6,62.6
7.3,51.0,3.2,0.27,9.7,43.1,3.19,67.9,0.27,-21.8,50.4,56.8
6.9,76.0,4.8,0.06,7.0,44.4,3.17,72.1,0.28,-14.0,51.8,52.0
8.2,52.0,2.5,0.06,8.1,32.3,3.23,53.9,0.25,-19.3,39.8,55.7
6.2,56.0,4.8,0.14,9.9,40.4,3.21,68.5,0.25,-20.8,49.1,50.6
9.5,77.0,4.6,0.25,8.2,42.8,3.16,65.8,0.25,-19.9,48.9,52.2
5.9,72.0,1.8,0.3,8.7,39.7,3.16,63.4,0.28,-21.6,46.8,49.8
10.4,82.0,1.3,0.09,10.7,35.1,3.21,48.4,0.24,-24.7,40.3,60.1
9.4,73.0,1.4,0.2,8.5,37.3,3.21,61.9,0.29,-18.1,43.8,56.5
6.5,68.0,1.1,0.15,22.9,32.5,3.25,52.6,0.12,-31.9,38.2,71.7
5.5,45.0,1.4,0.29,6.6,46.6,3.14,75.2,0.31,-19.1,53.5,46.6
9.6,58.0,3.7,0.26,15.5,35.3,3.22,48.4,0.25,-25.1,42.3,59.5
9.0,53.0,1.3,0.26,13.2,33.0,3.21,58.5,0.18,-21.7,38.7,57.6
9.1,52.0,2.3,0.17,24.6,23.2,3.33,37.4,0.16,-31.8,28.0,73.5
9.4,89.0,4.4,0.15,7.2,46.7,3.13,78.4,0.33,-17.5,55.6,45.0
5.9,60.0,1.1,0.12,13.0,36.9,3.23,56.0,0.21,-23.9,43.8,59.1
7.3,85.0,4.3,0.06,24.4,33.7,3.24,54.9,0.2,-35.0,39.3,71.5
6.1,72.0,2.1,0.27,22.3,34.7,3.23,52.9,0.18,-26.9,41.5,61.6
9.8,80.0,1.5,0.25,21.3,32.3,3.26,47.0,0.16,-31.6,36.2,73.2
8.6,65.0,3.8,0.3,10.2,39.1,3.2,69.6,0.27,-22.0,47.3,53.0
7.2,69.0,3.5,0.3,8.4,42.7,3.18,67.6,0.3,-16.7,50.5,49.2
5.8,65.0,4.5,0.19,18.4,37.4,3.23,60.9,0.21,-25.5,44.6,58.0
7.1,50.0,3.9,0.24,23.6,33.3,3.25,52.7,0.18,-30.5,37.1,61.3
7.1,76.0,4.2,0.29,16.1,39.9,3.2,64.5,0.19,-21.1,46.7,58.9
9.1,54.0,2.1,0.26,16.4,32.1,3.25,49.5,0.22,-28.0,36.3,67.6
8.7,41.0,1.7,0.11,10.6,30.8,3.27,52.8,0.22,-20.0,38.3,59.0
9.9,72.0,4.0,0.16,20.4,31.2,3.24,56.2,0.18,-30.2,36.3,67.7
7.9,49.0,4.2,0.08,8.7,41.7,3.22,64.4,0.25,-19.4,47.8,54.0
6.1,87.0,5.0,0.29,11.5,42.9,3.17,68.6,0.24,-18.2,50.4,46.2
9.1,88.0,2.7,0.2,13.5,41.2,3.16,66.6,0.28,-23.3,47.0,53.5
9.3,86.0,2.5,0.11,15.2,36.6,3.21,62.4,0.26,-24.7,43.8,61.2
8.3,59.0,4.1,0.22,9.8,37.8,3.2,60.9,0.29,-18.8,42.5,51.8
9.4,41.0,2.4,0.2,7.3,37.4,3.24,57.0,0.26,-20.3,40.8,57.5
8.0,86.0,4.7,0.14,17.2,37.4,3.19,56.6,0.2,-28.4,44.5,56.0
8.1,61.0,4.4,0.08,10.8,35.2,3.21,61.6,0.3,-23.8,42.0,59.3
7.6,88.0,2.7,0.22,16.6,39.1,3.17,56.0,0.22,-30.0,44.0,60.2
5.6,88.0,4.0,0.18,8.1,48.0,3.14,74.1,0.35,-14.2,54.2,45.0
6.0,83.0,4.0,0.24,14.6,45.7,3.09,71.3,0.24,-25.9,54.5,54.3
5.7,55.0,1.4,0.18,15.7,37.2,3.17,59.7,0.23,-24.9,44.4,56.0
8.7,59.0,4.6,0.26,6.0,44.4,3.17,72.0,0.29,-18.7,52.6,45.1
7.1,83.0,3.0,0.19,11.7,41.5,3.18,69.4,0.26,-21.3,50.7,52.5
